year,ncessch,school_id,school_name,leaid,lea_name,state_leaid,seasch,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,phone,fips,latitude,longitude,csa,cbsa,urban_centric_locale,county_code,school_level,school_type,school_status,lowest_grade_offered,highest_grade_offered,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,charter,magnet,shared_time,virtual,teachers_fte,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,elem_cedp,high_cedp,middle_cedp,ungrade_cedp,enrollment,state_leg_district_lower,state_leg_district_upper,ncessch_num,congress_district_id,direct_certification,lunch_program
2017,170000405125,05125,Booth Elementary School,1700004,Norris City-Omaha-Enfield CUSD 3,IL-20-097-0030-26,2009700302003,PO Box 39,Enfield,IL,62835,PO Box 39,Enfield,IL,62835,(618)963-2521,Illinois,38.101299,-88.338512,-2,-2,Rural distant,17193,Primary,Regular school,Open,Pre-K,8,NA,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,Yes,NA,No,No,No,No,14,84,18,102,Yes,No,Yes,No,146,17109,17055,170000405125,1715,NA,Yes participating without using any Provision or the CEP
2017,170000502056,02056,Prairie Central Upper Elementary,1700005,Prairie Central CUSD 8,IL-17-053-0080-26,1705300802007,PO Box 496,Forrest,IL,61741,PO Box 496,Forrest,IL,61741,(815)657-8238,Illinois,40.75179,-88.411421,145,38700,Rural distant,17105,Middle,Regular school,Open,5,6,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,21,110,16,126,Yes,No,No,No,284,17105,17053,170000502056,1716,NA,Yes participating without using any Provision or the CEP
2017,170000505126,05126,Prairie Central High School,1700005,Prairie Central CUSD 8,IL-17-053-0080-26,1705300800001,411 N 7th St,Fairbury,IL,61739,411 N 7th St,Fairbury,IL,61739,(815)692-2355,Illinois,40.751846,-88.506294,145,38700,Town distant,17105,High,Regular school,Open,9,12,NA,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,Yes,NA,No,No,No,No,39,159,39,198,No,Yes,No,No,563,17105,17053,170000505126,1716,NA,Yes participating without using any Provision or the CEP
2017,170000505127,05127,Prairie Central Jr High School,1700005,Prairie Central CUSD 8,IL-17-053-0080-26,1705300801001,800 N Wood St,Forrest,IL,61741,800 N Wood St,Forrest,IL,61741,(815)657-8660,Illinois,40.757136,-88.413682,145,38700,Rural distant,17105,Middle,Regular school,Open,7,8,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,21,103,16,119,No,No,Yes,No,263,17105,17053,170000505127,1716,NA,Yes participating without using any Provision or the CEP
2017,170000505129,05129,Prairie Central  Elem School,1700005,Prairie Central CUSD 8,IL-17-053-0080-26,1705300802005,600 S 1st St,Fairbury,IL,61739,600 S 1st St,Fairbury,IL,61739,(815)692-2623,Illinois,40.740007,-88.517315,145,38700,Town distant,17105,Primary,Regular school,Open,2,4,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,30,167,14,181,Yes,No,No,No,381,17105,17053,170000505129,1716,NA,Yes participating without using any Provision or the CEP
2017,170000505130,05130,Prairie Central Primary East,1700005,Prairie Central CUSD 8,IL-17-053-0080-26,1705300802006,PO Box 816,Chatsworth,IL,60921,PO Box 816,Chatsworth,IL,60921,(815)635-3555,Illinois,40.74921,-88.291659,145,38700,Rural remote,17105,Primary,Regular school,Open,Pre-K,1,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,13,82,8,90,Yes,No,No,No,155,17106,17053,170000505130,1716,NA,Yes participating without using any Provision or the CEP
2017,170000505190,05190,Prairie Central Primary West,1700005,Prairie Central CUSD 8,IL-17-053-0080-26,1705300802001,700 S Division St,Chenoa,IL,61726,700 S Division St,Chenoa,IL,61726,(815)945-2971,Illinois,40.737561,-88.719101,145,14010,Rural distant,17113,Primary,Regular school,Open,Pre-K,1,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,13,100,13,113,Yes,No,No,No,241,17105,17053,170000505190,1718,NA,Yes participating without using any Provision or the CEP
2017,170000603793,03793,IYC Chicago,1700006,IDJJ Sch Dist 428,IL-60-105-4280-30,6010542803050,136 N Western Ave,Chicago,IL,60612,136 N Western Ave,Chicago,IL,60612,(312)633-5219,Illinois,41.883477,-87.687471,176,16980,City large,17031,High,Other/alternative school,Open,6,12,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,8,56,0,56,No,Yes,Yes,No,59,17010,17005,170000603793,1707,NA,Yes participating without using any Provision or the CEP
2017,170000604213,04213,IYC Kewanee,1700006,IDJJ Sch Dist 428,IL-60-105-4280-30,6010542803052,2021 Kentville Rd,Kewanee,IL,61443,2021 Kentville Rd,Kewanee,IL,61443,(309)852-4601,Illinois,41.25337,-89.89163,209,19340,Town distant,17073,High,Other/alternative school,Open,9,12,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,Yes,No,NA,NA,NA,NA,No,Yes,No,No,NA,17074,17037,170000604213,1717,NA,No
2017,170000604460,04460,Illinois Youth Center-Warrenville,1700006,IDJJ Sch Dist 428,IL-60-105-4280-30,6010542803019,PO Box 828,Warrenville,IL,60555,PO Box 828,Warrenville,IL,60555,(630)983-6231,Illinois,41.811373,-88.210565,176,16980,Suburb large,17043,Secondary,Other/alternative school,Open,8,11,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,10,25,0,25,No,Yes,Yes,No,28,17049,17025,170000604460,1711,NA,Yes participating without using any Provision or the CEP
2017,170000604464,04464,Illinois Youth Ctr - St Charles,1700006,IDJJ Sch Dist 428,IL-60-105-4280-30,6010542803014,3825 Campton Hills,Saint Charles,IL,60175,3825 Campton Hills,Saint Charles,IL,60175,(630)584-0506,Illinois,41.907921,-88.373795,176,16980,Suburb large,17089,High,Other/alternative school,Open,8,12,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,15,40,0,40,No,Yes,Yes,No,63,17050,17025,170000604464,1714,NA,Yes participating without using any Provision or the CEP
2017,170000604488,04488,Il Youth Center - Pere Marquette,1700006,IDJJ Sch Dist 428,IL-60-105-4280-30,6010542803015,17808 State Hwy 100W,Grafton,IL,62037,17808 State Hwy 100W,Grafton,IL,62037,(618)786-2371,Illinois,38.973173,-90.46309,476,41180,Rural distant,17083,High,Other/alternative school,Open,8,12,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,8,23,0,23,No,Yes,Yes,No,26,17100,17050,170000604488,1713,NA,Yes participating without using any Provision or the CEP
2017,170000604902,04902,School District 428 IYC-HRB,1700006,IDJJ Sch Dist 428,IL-60-105-4280-30,6010542803028,1201 W Poplar St,Harrisburg,IL,62946,1201 W Poplar St,Harrisburg,IL,62946,(618)252-8681,Illinois,37.739256,-88.559492,-2,-2,Town distant,17165,High,Other/alternative school,Open,7,12,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,18,85,0,85,No,Yes,Yes,No,88,17118,17059,170000604902,1715,NA,Yes participating without using any Provision or the CEP
2017,170000703846,03846,Eastland Elementary School,1700007,Eastland CUSD 308,IL-08-008-3080-26,0800830802003,601 S Chestnut St,Shannon,IL,61078,601 S Chestnut St,Shannon,IL,61078,(815)864-2300,Illinois,42.148504,-89.739912,-2,-2,Rural distant,17015,Primary,Regular school,Open,Pre-K,6,NA,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,Yes,NA,No,No,No,No,21,140,21,161,Yes,No,No,No,348,17089,17045,170000703846,1717,NA,Yes participating without using any Provision or the CEP
2017,170000705083,05083,Eastland Jr/Sr High School,1700007,Eastland CUSD 308,IL-08-008-3080-26,0800830800001,500 S School Dr,Lanark,IL,61046,500 S School Dr,Lanark,IL,61046,(815)493-6341,Illinois,42.096796,-89.829669,-2,-2,Rural remote,17015,High,Regular school,Open,7,12,NA,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,Yes,NA,No,No,No,No,22,78,12,90,No,Yes,Yes,No,297,17089,17045,170000705083,1717,NA,Yes participating without using any Provision or the CEP
2017,170000903322,03322,Pinckneyville Elem School,1700009,Pinckneyville SD 50,IL-30-073-0500-02,3007305002001,301 W Mulberry St,Pinckneyville,IL,62274,301 W Mulberry St,Pinckneyville,IL,62274,(618)357-5161,Illinois,38.079707,-89.385012,-2,-2,Town distant,17145,Primary,Regular school,Open,Kindergarten,4,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,14,112,5,117,Yes,No,No,No,288,17116,17058,170000903322,1712,NA,Yes participating without using any Provision or the CEP
2017,170000903323,03323,Pinckneyville Middle School,1700009,Pinckneyville SD 50,IL-30-073-0500-02,3007305002002,700 E Water St,Pinckneyville,IL,62274,700 E Water St,Pinckneyville,IL,62274,(618)357-2724,Illinois,38.078684,-89.372289,-2,-2,Town distant,17145,Middle,Regular school,Open,5,8,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,15,92,7,99,No,No,Yes,No,257,17116,17058,170000903323,1712,NA,Yes participating without using any Provision or the CEP
2017,170001000022,00022,Kenneth Murphy School,1700010,Beach Park CCSD 3,IL-34-049-0030-04,3404900302006,11315 W Wadsworth Rd,Beach Park,IL,60099,11315 W Wadsworth Rd,Beach Park,IL,60099,(847)599-5060,Illinois,42.428664,-87.850555,176,16980,Suburb large,17097,Primary,Regular school,Open,Kindergarten,5,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,24,169,0,169,Yes,No,No,No,401,17061,17031,170001000022,1710,NA,Yes under the Community Eligibility Provision (CEP)
2017,170001000211,00211,Oak Crest School,1700010,Beach Park CCSD 3,IL-34-049-0030-04,3404900302002,38550 N Lewis Ave,Beach Park,IL,60099,38550 N Lewis Ave,Beach Park,IL,60099,(847)599-5519,Illinois,42.422047,-87.856193,176,16980,Suburb large,17097,Primary,Regular school,Open,Pre-K,5,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,25,149,0,149,Yes,No,No,No,330,17061,17031,170001000211,1710,NA,Yes under the Community Eligibility Provision (CEP)
2017,170001000212,00212,Howe Elementary School,1700010,Beach Park CCSD 3,IL-34-049-0030-04,3404900302004,10271 W Beach Rd,Beach Park,IL,60087,10271 W Beach Rd,Beach Park,IL,60087,(847)599-5362,Illinois,42.419944,-87.83102,176,16980,Suburb large,17097,Primary,Regular school,Open,Kindergarten,5,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,27,228,0,228,Yes,No,No,No,381,17061,17031,170001000212,1710,NA,Yes under the Community Eligibility Provision (CEP)
2017,170001000213,00213,Beach Park Middle School,1700010,Beach Park CCSD 3,IL-34-049-0030-04,3404900301006,40667 N Green Bay Rd,Beach Park,IL,60099,40667 N Green Bay Rd,Beach Park,IL,60099,(847)596-5860,Illinois,42.452985,-87.877866,176,16980,Suburb large,17097,Middle,Regular school,Open,6,8,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,51,329,0,329,No,No,Yes,No,757,17061,17031,170001000213,1710,NA,Yes under the Community Eligibility Provision (CEP)
2017,170001005141,05141,Newport Elem School,1700010,Beach Park CCSD 3,IL-34-049-0030-04,3404900302005,15872 W 21st St,Wadsworth,IL,60083,15872 W 21st St,Wadsworth,IL,60083,(847)599-5330,Illinois,42.462979,-87.937295,176,16980,Rural fringe,17097,Primary,Regular school,Open,Kindergarten,5,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,21,146,0,146,Yes,No,No,No,279,17061,17031,170001005141,1714,NA,Yes under the Community Eligibility Provision (CEP)
2017,170001405224,05224,Goreville High School,1700014,Goreville CUD 1,IL-21-044-0010-26,2104400100001,201 S Ferne Clyffe,Goreville,IL,62939,201 S Ferne Clyffe,Goreville,IL,62939,(618)995-2142,Illinois,37.554012,-88.978649,-2,-2,Rural distant,17087,High,Regular school,Open,9,12,NA,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Yes,No,No,No,No,No,15,53,9,62,No,Yes,No,No,190,17118,17059,170001405224,1715,NA,Yes participating without using any Provision or the CEP
2017,170001405225,05225,Goreville Elementary School,1700014,Goreville CUD 1,IL-21-044-0010-26,2104400102001,201 S Ferne Clyffe,Goreville,IL,62939,201 S Ferne Clyffe,Goreville,IL,62939,(618)995-2142,Illinois,37.553187,-88.978212,-2,-2,Rural distant,17087,Primary,Regular school,Open,Pre-K,8,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,23,152,9,161,Yes,No,Yes,No,407,17118,17059,170001405225,1715,NA,Yes participating without using any Provision or the CEP
2017,170001505226,05226,Joppa Jr & Sr High School,1700015,Joppa-Maple Grove UD 38,IL-21-061-0380-26,2106103800001,PO Box 10,Joppa,IL,62953,PO Box 10,Joppa,IL,62953,(618)543-7589,Illinois,37.212932,-88.845227,424,37140,Rural distant,17127,High,Regular school,Open,7,12,NA,School is eligible for Title I Schoolwide program (SWP) but provides no program,Yes,Yes,No,No,No,No,9,60,0,60,No,Yes,Yes,No,110,17118,17059,170001505226,1715,NA,Yes under the Community Eligibility Provision (CEP)
2017,170001505227,05227,Maple Grove Elem School,1700015,Joppa-Maple Grove UD 38,IL-21-061-0380-26,2106103802001,1698 Grand Chain Rd,Metropolis,IL,62960,1698 Grand Chain Rd,Metropolis,IL,62960,(618)543-7434,Illinois,37.229129,-88.858388,424,37140,Rural distant,17127,Primary,Regular school,Open,Pre-K,6,NA,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Yes,Yes,No,No,No,No,14,105,0,105,Yes,No,No,No,156,17118,17059,170001505227,1715,NA,Yes under the Community Eligibility Provision (CEP)
2017,170001804538,04538,Boone County Center,1700018,Boone County Spec Educ Coop,IL-04-004-1000-61,0400410006101,1320 East Ave,Belvidere,IL,61008,1320 East Ave,Belvidere,IL,61008,(815)544-9851,Illinois,42.247255,-88.831162,466,40420,Suburb large,17007,Ungraded,Special education school,Open,Ungraded,Ungraded,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,NA,NA,NA,NA,No,No,No,Yes,NA,17070,17035,170001804538,1716,NA,No
2017,170002300685,00685,H E L P  Marshall,1700023,Eastern IL Area of Spec Educ,IL-11-015-8010-60,1101580106005,815 S 9th St,Marshall,IL,62441,815 S 9th St,Marshall,IL,62441,(217)826-5805,Illinois,39.384267,-87.690931,-2,-2,Town distant,17023,Ungraded,Special education school,Open,Ungraded,Ungraded,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,NA,NA,NA,NA,No,No,No,Yes,NA,17110,17055,170002300685,1715,NA,No
2017,170002300700,00700,H E L P  Sullivan,1700023,Eastern IL Area of Spec Educ,IL-11-015-8010-60,1101580106008,10 Hawthorne Ln,Sullivan,IL,61951,10 Hawthorne Ln,Sullivan,IL,61951,(217)728-2105,Illinois,39.584709,-88.605716,-2,-2,Town distant,17139,Prekindergarten,Special education school,Open,Pre-K,Pre-K,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,1,3,0,3,Yes,No,No,No,33,17102,17051,170002300700,1715,NA,No
2017,170002301922,01922,Fresh Start Treatment & Learning,1700023,Eastern IL Area of Spec Educ,IL-11-015-8010-60,1101580106009,215 N 1st St,Effingham,IL,62401,215 N 1st St,Effingham,IL,62401,(217)342-6161,Illinois,39.123442,-88.538736,-2,20820,Town remote,17049,Ungraded,Special education school,Open,Ungraded,Ungraded,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,8,30,0,30,No,No,No,Yes,56,17107,17054,170002301922,1715,NA,Yes participating without using any Provision or the CEP
2017,170002304730,04730,Treatment & Learning Center-H,1700023,Eastern IL Area of Spec Educ,IL-11-015-8010-60,1101580106002,306 Adams St,Humboldt,IL,61931,306 Adams St,Humboldt,IL,61931,(217)856-2223,Illinois,39.606508,-88.317222,-2,16660,Rural distant,17029,Ungraded,Special education school,Open,Ungraded,Ungraded,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,8,51,0,51,No,No,No,Yes,65,17110,17055,170002304730,1715,NA,Yes participating without using any Provision or the CEP
2017,170002304731,04731,Diagnostic & Developmental Ctr,1700023,Eastern IL Area of Spec Educ,IL-11-015-8010-60,1101580106001,1201 S 6th St,Mattoon,IL,61938,1201 S 6th St,Mattoon,IL,61938,(217)258-5286,Illinois,39.471031,-88.360892,-2,16660,Town distant,17029,Ungraded,Special education school,Open,Ungraded,Ungraded,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,43,49,0,49,No,No,No,Yes,77,17110,17055,170002304731,1715,NA,Yes participating without using any Provision or the CEP
2017,170002305042,05042,Treatment & Learning Center,1700023,Eastern IL Area of Spec Educ,IL-11-015-8010-60,1101580106003,PO Box 259,Kansas,IL,61933,PO Box 259,Kansas,IL,61933,(217)948-5751,Illinois,39.552826,-87.934243,-2,-2,Rural remote,17045,Ungraded,Special education school,Open,Ungraded,Ungraded,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,8,49,0,49,No,No,No,Yes,59,17110,17055,170002305042,1715,NA,Yes participating without using any Provision or the CEP
2017,170002404632,04632,A E R O Educational Center,1700024,A E R O  Spec Educ Coop,IL-07-016-8060-60,0701680606001,7600 Mason Ave,Burbank,IL,60459,7600 Mason Ave,Burbank,IL,60459,(708)496-3330,Illinois,41.753742,-87.769778,176,16980,Suburb large,17031,Ungraded,Special education school,Open,Ungraded,Ungraded,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,48,33,0,33,No,No,No,Yes,78,17023,17012,170002404632,1703,NA,No
2017,170002404633,04633,P R I D E School,1700024,A E R O  Spec Educ Coop,IL-07-016-8060-60,0701680606002,4201 W 93rd St,Oak Lawn,IL,60453,4201 W 93rd St,Oak Lawn,IL,60453,(708)598-4530,Illinois,41.749836,-87.777378,176,16980,Suburb large,17031,Ungraded,Special education school,Open,Ungraded,Ungraded,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,15,35,0,35,No,No,No,Yes,69,17023,17012,170002404633,1703,NA,No
2017,170002901305,01305,Speed Program for Adaptive Learn,1700029,Speed SEJA #802,IL-07-016-8020-60,0701680206004,1125 Division St,Chicago Heights,IL,60411,1125 Division St,Chicago Heights,IL,60411,(708)481-6102,Illinois,41.510905,-87.66325,176,16980,Suburb large,17031,High,Special education school,Open,12,12,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,13,75,0,75,No,Yes,No,No,125,17080,17040,170002901305,1702,NA,Yes under the Community Eligibility Provision (CEP)
2017,170002901314,01314,Speed Independence High School,1700029,Speed SEJA #802,IL-07-016-8020-60,0701680206005,1125 Division St,Chicago Heights,IL,60411,1125 Division St,Chicago Heights,IL,60411,(708)481-6103,Illinois,41.51101,-87.663184,176,16980,Suburb large,17031,High,Special education school,Open,11,12,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,2,13,0,13,No,Yes,No,No,17,17080,17040,170002901314,1702,NA,Yes under the Community Eligibility Provision (CEP)
2017,170002901323,01323,Speed Independence Elem Sch,1700029,Speed SEJA #802,IL-07-016-8020-60,0701680206006,1125 Division St,Chicago Heights,IL,60411,1125 Division St,Chicago Heights,IL,60411,(708)481-6103,Illinois,41.511129,-87.663784,176,16980,Suburb large,17031,Ungraded,Special education school,Open,Ungraded,Ungraded,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,10,34,0,34,No,No,No,Yes,45,17080,17040,170002901323,1702,NA,Yes under the Community Eligibility Provision (CEP)
2017,170002904498,04498,Speed Early Learning Center,1700029,Speed SEJA #802,IL-07-016-8020-60,0701680206001,1125 Division St,Chicago Heights,IL,60411,1125 Division St,Chicago Heights,IL,60411,(708)481-6101,Illinois,41.510918,-87.663098,176,16980,Suburb large,17031,Ungraded,Special education school,Open,Ungraded,Ungraded,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,18,90,0,90,No,No,No,Yes,139,17080,17040,170002904498,1702,NA,Yes under the Community Eligibility Provision (CEP)
2017,170002906337,06337,Acad for Lifelong Learning,1700029,Speed SEJA #802,IL-07-016-8020-60,0701680206009,410 Ashland Ave,Chicago Heights,IL,60411,410 Ashland Ave,Chicago Heights,IL,60411,(708)481-3600,Illinois,41.52369,-87.655361,176,16980,Suburb large,17031,High,Special education school,Open,12,12,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,3,21,0,21,No,Yes,No,No,24,17080,17040,170002906337,1702,NA,Yes under the Community Eligibility Provision (CEP)
2017,170003001966,01966,PAEC Education Center  EC,1700030,Proviso Area Exceptional Child,IL-06-016-8030-60,0601680306010,1636 S 10th Ave,Maywood,IL,60153,1636 S 10th Ave,Maywood,IL,60153,(708)338-3250,Illinois,41.871949,-87.845732,176,16980,Suburb large,17031,Prekindergarten,Special education school,Open,Pre-K,Pre-K,NA,School is not eligible for either Title I Targeted Assistance or Schoolwide program,No,No,No,No,No,No,5,38,0,38,Yes,No,No,No,61,17007,17004,170003001966,1707,NA,No
